Đại lý,Số video,Tổng view,Tổng tym,Tổng comment,Engagement %
phanthulan715,48,8974,286,52,3.77
thurobot88,33,6312,162,8,2.69
thietbibepan,24,5390,85,11,1.78
kimanh_1202,24,4427,262,26,6.51
momimart.vn,23,6295,76,14,1.43
nc.nh.qu.robot,22,2971,136,107,8.18
xiaomi.phu.tho,19,5370,90,17,1.99
.hng0863,19,4639,52,3,1.19
robothutbuiductrong,15,3250,38,6,1.35
minhchautestthat,14,659350,4054,750,0.73
bothome_robotgialai,14,5185,159,19,3.43
mivietnam_chuyengiarobot,13,8938,171,12,2.05
homecaredigital,12,1263,10,0,0.79
3t.smart.robot.tn,8,3001,30,2,1.07
tigerbot.smarthome,7,1196,38,7,3.76
quyrobot,6,2004,50,30,3.99
roborock.krng.n,4,1808,97,16,6.25
tn.robot76,4,902,19,1,2.22
thuyduonggiadung,4,778,28,1,3.73
longrobot_284,4,757,14,2,2.11
domotekvietnam,4,552,13,0,2.36
homesmediant99,4,501,14,2,3.19
hatechz,3,583,10,7,2.92
nhadepbepxinh.camxuyen,3,570,7,0,1.23
giangchismarthome,3,529,8,4,2.27
roborockthanhhoa,3,43,9,0,20.93
mi360vn,2,5633,590,30,11.01
saigonbephcm,2,2851,33,15,1.68
tm.anh.kitchen.qu,2,825,21,0,2.55
caothienphat.official,2,749,10,2,1.6
homebotvietnam,2,635,3,0,0.47
mistorebienhoa,2,299,9,0,3.01
ecomi.vn.roborock,2,280,6,0,2.14
hiephong.techhome,1,24900,105,3,0.43
t_tech.ninhbinh,1,2600,4,0,0.15
thietbithongminh8,1,1096,5,2,0.64
roborock.smart.li,1,348,1,0,0.29
bepphuthai,1,132,4,0,3.03
anhlinhgroup_73,1,130,1,0,0.77
TỔNG,357,776066,6710,1149,
